Airport_ID,Identifier,Type,Name,Latitude,Longitude,Elevation_Ft,Continent,ISO_Country_Code,ISO_Region,Municipality,Is_Scheduled_Service,GPS_Code,IATA_Code,Local_Code,Home_Link,Wikipedia_Link,Keywords
1755,CYHA,medium_airport,Quaqtaq Airport,61.04639816,-69.61779785,103,NA,CA,CA-QC,Quaqtaq,TRUE,CYHA,YQC,NA,NA,https://en.wikipedia.org/wiki/Quaqtaq_Airport,YHA
1756,CYHB,small_airport,Hudson Bay Airport,52.81669998,-102.310997,1175,NA,CA,CA-SK,Hudson Bay,FALSE,CYHB,YHB,NA,NA,https://en.wikipedia.org/wiki/Hudson_Bay_Airport,YHB
28453,CYHC,seaplane_base,Vancouver Harbour Water Aerodrome,49.29439926,-123.1110001,NA,NA,CA,CA-BC,Vancouver,TRUE,CYHC,CXH,NA,NA,https://en.wikipedia.org/wiki/Vancouver_Harbour_Water_Aerodrome,Vancouver Coal Harbour Seaplane Base
1757,CYHD,medium_airport,Dryden Regional Airport,49.831699,-92.744202,1354,NA,CA,CA-ON,Dryden,TRUE,CYHD,YHD,NA,NA,https://en.wikipedia.org/wiki/Dryden_Regional_Airport,NA
1758,CYHE,medium_airport,Hope Airport,49.36830139,-121.4980011,128,NA,CA,CA-BC,Hope,FALSE,CYHE,YHE,NA,NA,https://en.wikipedia.org/wiki/Hope_Aerodrome,YHE
1759,CYHF,medium_airport,Hearst René Fontaine Municipal Airport,49.71419907,-83.68609619,827,NA,CA,CA-ON,Hearst,FALSE,CYHF,YHF,NA,NA,https://en.wikipedia.org/wiki/Hearst_(Ren%C3%A9_Fontaine)_Municipal_Airport,NA
1760,CYHH,medium_airport,Nemiscau Airport,51.69110107,-76.13559723,802,NA,CA,CA-QC,Nemiscau,TRUE,CYHH,YNS,NA,NA,https://en.wikipedia.org/wiki/Nemiscau_Airport,YHH
1761,CYHI,medium_airport,Ulukhaktok Holman Airport,70.76280212,-117.8059998,117,NA,CA,CA-NT,Ulukhaktok,TRUE,CYHI,YHI,NA,NA,https://en.wikipedia.org/wiki/Ulukhaktok/Holman_Airport,NA
1762,CYHK,medium_airport,Gjoa Haven Airport,68.63559723,-95.84970093,152,NA,CA,CA-NU,Gjoa Haven,TRUE,CYHK,YHK,NA,NA,https://en.wikipedia.org/wiki/Gjoa_Haven_Airport,NA
1763,CYHM,medium_airport,John C. Munro Hamilton International Airport,43.17359924,-79.93499756,780,NA,CA,CA-ON,Hamilton,TRUE,CYHM,YHM,NA,http://www.flyhi.ca/,https://en.wikipedia.org/wiki/Hamilton/John_C._Munro_International_Airport,Mount Hope Airport
1764,CYHN,medium_airport,Hornepayne Municipal Airport,49.19309998,-84.7589035,1099,NA,CA,CA-ON,Hornepayne,FALSE,CYHN,YHN,NA,NA,https://en.wikipedia.org/wiki/Hornepayne_Municipal_Airport,NA
1765,CYHO,medium_airport,Hopedale Airport,55.44829941,-60.22859955,39,NA,CA,CA-NL,Hopedale,TRUE,CYHO,YHO,NA,NA,https://en.wikipedia.org/wiki/Hopedale_Airport,NA
1766,CYHR,medium_airport,Chevery Airport,50.46889877,-59.63669968,39,NA,CA,CA-QC,Chevery,TRUE,CYHR,YHR,NA,NA,https://en.wikipedia.org/wiki/Chevery_Airport,NA
1436,CYHS,small_airport,Hanover / Saugeen Municipal Airport,44.158298,-81.062798,939,NA,CA,CA-ON,Hanover,FALSE,CYHS,NA,CYHS,http://www.saugeenmunicipalairport.com/,https://en.wikipedia.org/wiki/Hanover/Saugeen_Municipal_Airport,"CPN4, YHS, PN4"
1767,CYHT,medium_airport,Haines Junction Airport,60.78919983,-137.5460052,2150,NA,CA,CA-YT,Haines Junction,FALSE,CYHT,YHT,NA,NA,https://en.wikipedia.org/wiki/Haines_Junction_Airport,NA
1768,CYHU,medium_airport,Montréal / Saint-Hubert Airport,45.51750183,-73.41690063,90,NA,CA,CA-QC,Montréal,TRUE,CYHU,YHU,NA,http://www.dashl.ca/,https://en.wikipedia.org/wiki/Montr%C3%A9al/St-Hubert_Airport,NA
1769,CYHY,medium_airport,Hay River / Merlyn Carter Airport,60.83969879,-115.7829971,541,NA,CA,CA-NT,Hay River,TRUE,CYHY,YHY,NA,NA,https://en.wikipedia.org/wiki/Hay_River_Airport,NA
